#separator:tab
#html:false
#columns:Front	Back	Tags
Observation	Information gathered directly with the senses or with instruments. — Example: “The leaf is 8 cm long.”	ecology 1a
Inference	An interpretation or conclusion based on observations plus what you already know. — Example: “The plant may be short because it gets little light.”	ecology 1a
Data	Recorded observations or measurements used as evidence. — Example: A table of seedling heights measured each week.	ecology 1a
Quantitative data	Data expressed as numbers, counts, or measurements. — Example: 12 cm; 8 seedlings; 17 °C	ecology 1a
Qualitative data	Data described in words or categories rather than numbers. — Example: Yellow leaves; cloudy water.	ecology 1a
Induction	Reasoning from many specific observations to a broader explanation. — Example: Many shaded plants grow slowly, so shade may limit growth.	ecology 1a
Deduction	Reasoning from a general idea to a specific prediction that can be tested. — Example: If light limits growth, plants given more light should grow taller.	ecology 1a
Annotation	A note written on a text or diagram that marks a key idea, question, or connection. — Example: Underlining carrying capacity and writing “changes with drought” in the margin.	ecology 1a
Formative assessment	A low-stakes check used to guide learning and give feedback while you are still learning. — Example: Homework, practice tests, and CFAs.	ecology 1a
Summative assessment	An assessment of what you have learned at the end of a unit or course. — Example: The unit exam and the final exam.	ecology 1a
Organism	An individual living thing made of one or more cells. — Example: A bacterium, a rabbit, or an oak tree.	ecology 1b
Metabolism	All the chemical reactions in an organism that build molecules or break them down, including those that transfer usable energy. — Example: Photosynthesis and cellular respiration are metabolic processes.	ecology 1b
Homeostasis	Keeping internal conditions within a working range even while the surroundings change. — Example: Body temperature stays near 37 °C in hot and cold weather.	ecology 1b
Stable / stability	Staying within a working range over time. Stable is not the same as constant. — Example: A stable body temperature still rises and falls slightly.	ecology 1b
Feedback loop	A cycle in which a change triggers a response, and the response then affects the original condition. — Example: Temperature → sweating → temperature.	ecology 1b
Negative feedback	A response that opposes the initial change and brings the condition back toward its range. — Example: Shivering when body temperature falls.	ecology 1b
Positive feedback	A response that increases the initial change until something ends the loop. — Example: Contractions during childbirth strengthen until delivery.	ecology 1b
Experimental control	A comparison condition without the treatment, so you can see what happens on its own. — Example: Bottle A with no hand in the energy-flow lab.	ecology 1b
Constant	A factor kept the same in every condition of an experiment. — Example: The same volume of water in every bottle.	ecology 1b
Hypothesis	A testable proposed explanation. — Example: “Light limits the growth of these seedlings.”	ecology 1b
Prediction	The specific result expected if the hypothesis is correct. — Example: “Seedlings given more light will grow taller.”	ecology 1b
Ecosystem	All the organisms in an area plus the nonliving environment and their interactions. — Example: A pond: fish, plants, microbes, water, and sunlight.	ecology 1c
Biotic / abiotic	Biotic: living or produced by living things. Abiotic: nonliving physical factors. — Example: Biotic: frogs, dead leaves. Abiotic: temperature, water, light.	ecology 1c
Habitat	The place where an organism lives. — Example: The pond is the frog's habitat.	ecology 1c
Niche	An organism's role: what it eats, what eats it, and the conditions and resources it uses. — Example: Eating insects and being eaten by herons are parts of a frog's niche.	ecology 1c
Autotroph / producer	Makes its own organic molecules from carbon dioxide using light or chemical energy. — Example: Grass, algae, some bacteria.	ecology 1c
Heterotroph / consumer	Gets organic matter and energy by eating other organisms or their products. — Example: Rabbit, hawk, and mushroom.	ecology 1c
Decomposer	A heterotroph that breaks down dead organic matter and wastes, returning nutrients to soil or water. — Example: Fungi and many bacteria.	ecology 1c
Photosynthesis	Producers use light energy to build sugar from carbon dioxide and water and release oxygen. — Example: 6CO₂ + 6H₂O + light → C₆H₁₂O₆ + 6O₂	ecology 1c
Cellular respiration	Cells break down sugar with oxygen, transferring energy to ATP and releasing carbon dioxide, water, and heat. — Example: Happens in plants, animals, and decomposers.	ecology 1c
Decomposition	The breakdown of dead material into simpler substances by decomposers. — Example: A fallen log rots; its nutrients return to the soil.	ecology 1c
Food web	A diagram of feeding relationships. Each arrow points from the food to the eater. — Example: Grass → rabbit → hawk.	ecology 1c
Trophic level	An organism's feeding position in a food chain. — Example: Producer, primary consumer, secondary consumer.	ecology 1c
ATP	The molecule cells use as an immediate energy supply for work. — Example: Muscle contraction uses ATP.	ecology 1c
Biodiversity	The variety of life: genes within a species, species within a community, and ecosystems within a region. — Example: The three-scale picture.	ecology 2a
Genetic diversity	The variety of alleles within one species. — Example: Rabbits of one species with different coat colors.	ecology 2a
Species diversity	The number of species in a community and how evenly individuals are spread among them. — Example: Five pollinator species sharing visits evenly.	ecology 2a
Ecosystem diversity	The variety of ecosystems across a region. — Example: Forest, wetland, and grassland in one county.	ecology 2a
Resilience	The ability of an ecosystem to keep or recover its functions after a disturbance. — Example: Pollination continues after drought because several pollinator species respond differently.	ecology 2a
Ecosystem services	Benefits people get from ecosystems: provisioning, regulating, supporting, and cultural. — Example: Food, clean water, crop pollination, and recreation.	ecology 2a
Pollination	Transfer of pollen to the receptive part of a flower, allowing fertilization and seed formation. — Example: A bee carrying pollen between blossoms.	ecology 2a
Keystone species	A species whose effect on the community is large compared with its abundance. — Example: A predator that keeps herbivores from overgrazing.	ecology 2a
Foundation species	A species that creates or defines the habitat that many others depend on. — Example: Reef-building corals.	ecology 2a
CHIPPO	A memory aid for six threats: Climate change, Habitat loss, Invasive species, Pollution, Population, Overexploitation. — Example: The table gives a response for each.	ecology 2b
Habitat loss	Removal or degradation of the places organisms live. — Example: A forest cleared for farmland.	ecology 2b
Habitat fragmentation	Division of habitat into separated patches, which limits movement and gene flow. — Example: A highway splitting a forest.	ecology 2b
Invasive species	An introduced species that spreads and harms native species or ecosystems. — Example: Not every introduced species is invasive; the harm matters.	ecology 2b
Overexploitation	Harvesting a population faster than it can replace its losses. — Example: Overfishing a breeding population.	ecology 2b
Overconsumption	Using resources beyond what is needed or can be sustained. — Example: Per-person use matters, not just the number of people.	ecology 2b
Endangered	A species at high risk of extinction. — Example: A small, isolated population losing habitat.	ecology 2b
Extinct	No living individuals of the species remain. — Example: Extinction cannot be reversed by conservation.	ecology 2b
Wildlife corridor	A strip of habitat or a crossing that connects separated patches so organisms can move between them. — Example: The Banff overpass.	ecology 2b
Claim, evidence, reasoning (CER)	A claim answers the question; evidence is the data; reasoning explains how a scientific principle links them. — Example: The flower-strip example.	ecology 2b
Population	All the individuals of one species living in a defined area. — Example: The rabbits in one meadow.	ecology 2c
Immigration / emigration	Immigration: individuals moving into a population. Emigration: individuals moving out. — Example: ΔN = (B + I) − (D + E)	ecology 2c
Exponential growth	Growth by a constant percentage, giving a J-shaped curve; bigger populations add more individuals each interval. — Example: Bacteria doubling in fresh broth.	ecology 2c
Logistic growth	Growth that slows as resources become limiting, giving an S-shaped curve that levels off near carrying capacity. — Example: The idealized model, not an exact trace of real populations.	ecology 2c
Limiting factor	Anything that restricts population growth: food, water, space, disease, or weather. — Example: Food supply after a drought.	ecology 2c
Density-dependent / independent	Dependent: the effect per individual changes with crowding. Independent: the effect is not caused by crowding. — Example: Dependent: competition, disease. Independent: freeze, flood.	ecology 2c
Carrying capacity (K)	The population size an environment can support over time with its resources and conditions. It can change. — Example: K falls when habitat is lost.	ecology 2c
Ecological footprint	An estimate of the productive land and water needed to supply what a person or population uses and to absorb its wastes. — Example: Compared with biocapacity.	ecology 2c
Biocapacity	The ability of ecosystems to regenerate resources and absorb wastes in a year. — Example: Regrowth of forests and crops; absorption of carbon dioxide.	ecology 2c
Earth Overshoot Day	The estimated date when humanity's demand for the year exceeds what Earth can regenerate that year. — Example: An earlier date means greater demand relative to regeneration.	ecology 2c
Environmental justice	Fair treatment and meaningful participation of all people in environmental decisions, including who bears the burdens and who receives the benefits. — Example: One community drinks the polluted water while many use the factory's products.	ecology 2c
Assess; assessment	Evaluate understanding or performance against criteria.	ecology academic
Commitment; effective	Sustained effort; successful in achieving an intended result.	ecology academic
Condition; criteria	A circumstance affecting a system; standards used to judge a claim or classify something.	ecology academic
Stable; constant; range	Stable permits bounded variation; constant is unchanging; range is the span of values.	ecology academic
Dynamic; equilibrium	Dynamic means changing or involving ongoing processes. Equilibrium describes opposing processes with no net change; homeostasis generally requires ongoing regulation.	ecology academic
Mechanism; model	A process explaining how an effect occurs; a simplified representation used to explain or predict.	ecology academic
Reinforce	Strengthen a response or change, as in positive feedback.	ecology academic
Affect; effect	Affect is usually a verb meaning influence; effect is usually a noun meaning result.	ecology academic
Convert; transfer; store	Change form; move between locations or organisms; retain for later use. Energy is transformed or transferred, not created by organisms.	ecology academic
Obtain; release; generate	Acquire; let out; produce. Say organisms generate ATP or heat, not that they create energy from nothing.	ecology academic
Cycle; process; interact	Move through repeated transfers; a sequence of events; influence one another.	ecology academic
Efficient	Producing a given output with less input or waste; specify which input and output.	ecology academic
Complex; context; diverse	Having many interacting parts; relevant circumstances; varied in composition.	ecology academic
Collapse; resilient	Severe loss of structure or function; able to retain or recover function after disturbance.	ecology academic
Resources	Materials, energy sources, or conditions organisms use to survive and reproduce.	ecology academic
Consumption; exploitation	Use of resources; use or harvest of organisms or resources. Overexploitation exceeds replacement capacity.	ecology academic
Destruction; disruption	Removal or severe damage; interference with a process or relationship.	ecology academic
Impact; threat	An effect; a potential cause of harm. State the affected organism or process.	ecology academic
Migration	Movement between locations, often seasonal; immigration and emigration specify movement relative to a defined population.	ecology academic
Prevention; restoration	Avoiding a problem; helping a damaged ecosystem recover structure or functions.	ecology academic
Capacity; finite	The amount that can be supported or held; limited in quantity.	ecology academic
Decline; fluctuate	Decrease; vary upward and downward over time.	ecology academic
Exacerbate; exceed	Make a problem worse; go beyond a limit.	ecology academic
Factor; outcome	Something contributing to a result; the result itself.	ecology academic
Indefinitely; limit	Without an end; a constraint or boundary. Exponential growth cannot continue indefinitely with finite resources.	ecology academic
Replenish	Replace resources as they are used, through regeneration or other supply.	ecology academic
